"vector_key","start_lat","start_lon","end_lat","end_lon","length_km","start_polygon_id","end_polygon_id","start_polygon_name","end_polygon_name","country","n_baseline","ndiff_mean","ndiff_med","ndiff_min","ndiff_max","ndiff_std","abs_ndiff_med","pct_chg_mean","pct_chg_med","pct_chg_min","pct_chg_max","pct_chg_std","abs_pct_chg_med","vector_name"
"PAK.5.3_1_PAK.5.8_1",32.9323422942606,70.7986144879738,34.0135551823037,71.7920103750481,151.470794324896,"PAK.5.3_1","PAK.5.8_1","F.A.T.A.","Peshawar","PK",35.25,5.41666666666667,5.41666666666667,2.08333333333334,8.75,4.71404520791031,5.41666666666667,14.7832640262694,14.7832640262694,4.7438330170778,24.822695035461,14.1978994917078,14.7832640262694,"F.A.T.A. - Peshawar"
"PAK.5.4_1_PAK.4.1_1",34.8412142650208,73.2243661662354,33.6692247086546,73.0666656755683,131.122933091476,"PAK.5.4_1","PAK.4.1_1","Hazara","Islamabad","PK",255.416666666667,-73.625,-73.625,-178.333333333333,31.0833333333333,148.079945093483,73.625,-20.6251063860979,-20.6251063860979,-53.4198701947079,12.1696574225122,46.3787997529587,20.6251063860979,"Hazara - Islamabad"
"PAK.5.4_1_PAK.5.4_1",34.8412142650208,73.2243661662354,34.8412142650208,73.2243661662354,0,"PAK.5.4_1","PAK.5.4_1","Hazara","Hazara","PK",31623.0589652983,-1413.36281598248,-1413.36281598248,-2994.16666666667,167.441034701698,2235.59424508918,1413.36281598248,-4.47118676501635,-4.47118676501635,-9.47186384558199,0.529490315549297,7.07202534838423,4.47118676501635,"Hazara - Hazara"
"PAK.5.4_1_PAK.5.6_1",34.8412142650208,73.2243661662354,35.6924113719009,72.2469303359298,129.74064660999,"PAK.5.4_1","PAK.5.6_1","Hazara","Malakand","PK",49.5,-6.91666666666667,-6.91666666666667,-9.83333333333334,-4,4.12478955692153,6.91666666666667,-13.1735309753886,-13.1735309753886,-18.266253869969,-8.08080808080808,7.20219778692368,13.1735309753886,"Hazara - Malakand"
"PAK.5.4_1_PAK.5.7_1",34.8412142650208,73.2243661662354,34.3054247124276,72.3623293245186,98.887210360754,"PAK.5.4_1","PAK.5.7_1","Hazara","Mardan","PK",41.6666666666667,-8.75,-8.75,-16.3333333333333,-1.16666666666667,10.724452847996,8.75,-17.1556270096463,-17.1556270096463,-31.5112540192926,-2.8,20.3019224134113,17.1556270096463,"Hazara - Mardan"
"PAK.5.4_1_PAK.5.8_1",34.8412142650208,73.2243661662354,34.0135551823037,71.7920103750481,160.3989729371,"PAK.5.4_1","PAK.5.8_1","Hazara","Peshawar","PK",73.0833333333333,-26.5,-26.5,-51.9166666666667,-1.08333333333333,35.9445947103162,26.5,-25.1342719047368,-25.1342719047368,-48.7862176977291,-1.48232611174458,33.4489025169629,25.1342719047368,"Hazara - Peshawar"
"PAK.5.4_1_PAK.7.5_1",34.8412142650208,73.2243661662354,31.2122490257376,73.94344561103,409.049669036632,"PAK.5.4_1","PAK.7.5_1","Hazara","Lahore","PK",52.3333333333333,-27.4548913514259,-27.4548913514259,-42.5764493695185,-12.3333333333333,21.3851124333982,27.4548913514259,-45.0066047785122,-45.0066047785122,-66.4463305761326,-23.5668789808917,30.3203509965552,45.0066047785122,"Hazara - Lahore"
"PAK.5.4_1_PAK.7.7_1",34.8412142650208,73.2243661662354,33.1952049160209,72.7230655487469,188.768714528969,"PAK.5.4_1","PAK.7.7_1","Hazara","Rawalpindi","PK",398.666666666667,-82.2916666666667,-82.2916666666667,-168.916666666667,4.33333333333336,122.506249840569,82.2916666666667,-18.5036933234191,-18.5036933234191,-38.0943431685773,1.08695652173914,27.7053627067252,18.5036933234191,"Hazara - Rawalpindi"
"PAK.5.5_1_PAK.5.1_1",33.3240386522153,71.2456287788584,32.6824702146471,70.7936087143096,82.8615832734852,"PAK.5.5_1","PAK.5.1_1","Kohat","Bannu","PK",27.3333333333333,-1.79166666666667,-1.79166666666667,-2.75,-0.833333333333334,1.35528799727422,1.79166666666667,-5.6597285897671,-5.6597285897671,-8.27067669172932,-3.04878048780488,3.69243821644726,5.6597285897671,"Kohat - Bannu"
"PAK.5.5_1_PAK.5.5_1",33.3240386522153,71.2456287788584,33.3240386522153,71.2456287788584,0,"PAK.5.5_1","PAK.5.5_1","Kohat","Kohat","PK",9436.33333333333,-247.176239239714,-247.176239239714,-533.519145146094,39.166666666667,404.950021022126,247.176239239714,-2.64917289184495,-2.64917289184495,-5.71340813135319,0.415062347663291,4.33348303401412,2.64917289184495,"Kohat - Kohat"
